Kanton;Datum und Zeit;Anzahl Anrufe pro Kanton und Stunde
AI;2017-07-06T17:00:00+02:00;1003
BS;2017-07-03T11:00:00+02:00;29524
BS;2017-07-03T14:00:00+02:00;33727
AI;2017-07-06T07:00:00+02:00;1247
AI;2017-07-06T08:00:00+02:00;1360
AI;2017-07-06T11:00:00+02:00;1055
AI;2017-07-06T13:00:00+02:00;1185
AI;2017-07-06T18:00:00+02:00;755
AI;2017-07-06T00:00:00+02:00;15
AI;2017-07-06T02:00:00+02:00;5
AG;2017-07-21T21:00:00+02:00;8731
AG;2017-07-22T00:00:00+02:00;2043
AI;2017-07-05T14:00:00+02:00;1446
AI;2017-07-05T16:00:00+02:00;1430
AI;2017-07-05T18:00:00+02:00;873
AG;2017-07-22T23:00:00+02:00;4397
AI;2017-07-05T19:00:00+02:00;586
AI;2017-07-05T21:00:00+02:00;140
AG;2017-07-22T22:00:00+02:00;6489
AG;2017-07-22T02:00:00+02:00;1602
AG;2017-07-18T10:00:00+02:00;56686
AG;2017-07-21T14:00:00+02:00;62352
AG;2017-07-21T17:00:00+02:00;43653
AG;2017-07-21T18:00:00+02:00;31422
AG;2017-07-21T19:00:00+02:00;21362
AG;2017-07-18T21:00:00+02:00;8985
AG;2017-07-18T23:00:00+02:00;2406
AG;2017-07-19T03:00:00+02:00;2095
AG;2017-07-22T21:00:00+02:00;10194
AG;2017-07-19T02:00:00+02:00;1233
BS;2017-07-04T13:00:00+02:00;34646
BS;2017-07-04T18:00:00+02:00;16989
BS;2017-07-04T20:00:00+02:00;10233
BS;2017-07-03T10:00:00+02:00;32833
BS;2017-07-03T16:00:00+02:00;28547
BS;2017-07-03T12:00:00+02:00;33893
BS;2017-07-03T21:00:00+02:00;5280
FR;2017-07-11T08:00:00+02:00;47036
FR;2017-07-13T15:00:00+02:00;49562
FR;2017-07-12T11:00:00+02:00;36598
FR;2017-07-11T06:00:00+02:00;28204
FR;2017-07-10T04:00:00+02:00;3340
FR;2017-07-10T03:00:00+02:00;889
FR;2017-07-11T00:00:00+02:00;674
FR;2017-07-11T02:00:00+02:00;640
GR;2017-07-06T07:00:00+02:00;29604
GR;2017-07-06T09:00:00+02:00;33939
GR;2017-07-06T11:00:00+02:00;25032
GR;2017-07-06T13:00:00+02:00;29697
GR;2017-07-06T16:00:00+02:00;29712
GR;2017-07-06T21:00:00+02:00;4222
GL;2017-07-08T08:00:00+02:00;2305
GR;2017-07-06T01:00:00+02:00;360
GL;2017-07-08T06:00:00+02:00;1026
GR;2017-07-06T03:00:00+02:00;605
GR;2017-07-04T09:00:00+02:00;32972
GR;2017-07-04T16:00:00+02:00;29628
GR;2017-07-04T17:00:00+02:00;23324
GR;2017-07-04T05:00:00+02:00;8034
GR;2017-07-03T20:00:00+02:00;8793
GR;2017-07-03T21:00:00+02:00;3873
GR;2017-07-06T06:00:00+02:00;21205
GR;2017-07-04T00:00:00+02:00;568
GR;2017-07-04T01:00:00+02:00;355
GR;2017-07-04T03:00:00+02:00;588
GL;2017-07-12T05:00:00+02:00;1022
GL;2017-07-06T13:00:00+02:00;3568
GL;2017-07-06T17:00:00+02:00;3025
GL;2017-07-07T08:00:00+02:00;3154
GL;2017-07-07T17:00:00+02:00;3076
GL;2017-07-11T19:00:00+02:00;1550
GL;2017-07-06T18:00:00+02:00;2262
GL;2017-07-06T06:00:00+02:00;2481
GL;2017-07-06T22:00:00+02:00;246
GL;2017-07-07T02:00:00+02:00;32
GL;2017-07-06T05:00:00+02:00;1143
GL;2017-07-08T09:00:00+02:00;2782
GL;2017-07-08T13:00:00+02:00;2328
GL;2017-07-05T19:00:00+02:00;1850
GL;2017-07-08T05:00:00+02:00;371
GL;2017-07-07T23:00:00+02:00;222
GL;2017-07-08T00:00:00+02:00;116
GL;2017-07-07T22:00:00+02:00;369
GL;2017-07-08T01:00:00+02:00;98
GL;2017-07-08T02:00:00+02:00;55
GL;2017-07-28T14:00:00+02:00;2927
GL;2017-07-28T16:00:00+02:00;2701
GL;2017-07-28T04:00:00+02:00;196
GL;2017-07-05T03:00:00+02:00;92
GL;2017-07-05T01:00:00+02:00;56
GL;2017-07-05T02:00:00+02:00;97
GR;2017-07-01T08:00:00+02:00;20274
GR;2017-07-01T13:00:00+02:00;18751
GR;2017-07-01T17:00:00+02:00;15785
GR;2017-07-02T13:00:00+02:00;12526
GR;2017-07-02T14:00:00+02:00;13139
GR;2017-07-02T10:00:00+02:00;13379
GR;2017-07-02T05:00:00+02:00;1498
GR;2017-07-01T19:00:00+02:00;9915
GR;2017-07-01T12:00:00+02:00;18729
AI;2017-07-19T14:00:00+02:00;1089
AI;2017-07-19T16:00:00+02:00;1103
AI;2017-07-20T08:00:00+02:00;1152
AI;2017-07-18T21:00:00+02:00;123
AI;2017-07-19T12:00:00+02:00;1102
BS;2017-07-17T13:00:00+02:00;28664
BS;2017-07-17T14:00:00+02:00;27992
AR;2017-07-01T11:00:00+02:00;2779
AR;2017-07-01T10:00:00+02:00;3343
AI;2017-07-25T19:00:00+02:00;331
AI;2017-07-25T00:00:00+02:00;16
AI;2017-07-25T04:00:00+02:00;31
AI;2017-07-25T21:00:00+02:00;79
AI;2017-07-25T23:00:00+02:00;15
AI;2017-07-24T22:00:00+02:00;22
AI;2017-07-13T07:00:00+02:00;1189
AI;2017-07-13T09:00:00+02:00;1255
AI;2017-07-13T13:00:00+02:00;1093
AI;2017-07-13T14:00:00+02:00;1214
AI;2017-07-23T14:00:00+02:00;414
AI;2017-07-23T17:00:00+02:00;509
AR;2017-07-01T01:00:00+02:00;155
AI;2017-07-23T13:00:00+02:00;417
AI;2017-07-23T06:00:00+02:00;227
AI;2017-07-23T00:00:00+02:00;35
BS;2017-07-19T13:00:00+02:00;28846
BS;2017-07-19T16:00:00+02:00;25163
BS;2017-07-19T19:00:00+02:00;11264
BS;2017-07-19T10:00:00+02:00;28665
BS;2017-07-24T18:00:00+02:00;13478
BS;2017-07-25T13:00:00+02:00;28742
BS;2017-07-18T21:00:00+02:00;5241
BS;2017-07-19T05:00:00+02:00;6269
BS;2017-07-19T12:00:00+02:00;29839
BS;2017-07-19T00:00:00+02:00;729
BS;2017-07-25T16:00:00+02:00;24538
BS;2017-07-25T17:00:00+02:00;19183
BS;2017-07-25T10:00:00+02:00;27265
BS;2017-07-25T05:00:00+02:00;5611
BS;2017-07-25T04:00:00+02:00;1650
BS;2017-07-25T12:00:00+02:00;29199
BS;2017-07-25T20:00:00+02:00;7832
BS;2017-07-22T13:00:00+02:00;14953
BS;2017-07-22T11:00:00+02:00;14492
BS;2017-07-25T00:00:00+02:00;586
AI;2017-07-14T13:00:00+02:00;1217
AI;2017-07-14T15:00:00+02:00;1246
AI;2017-07-13T05:00:00+02:00;365
AI;2017-07-12T23:00:00+02:00;197
AI;2017-07-13T12:00:00+02:00;1141
AI;2017-07-13T10:00:00+02:00;981
AI;2017-07-14T12:00:00+02:00;1179
AI;2017-07-13T01:00:00+02:00;17
AI;2017-07-14T06:00:00+02:00;898
AI;2017-07-13T22:00:00+02:00;31
AI;2017-07-31T09:00:00+02:00;1151
AI;2017-07-31T16:00:00+02:00;1002
AI;2017-07-14T17:00:00+02:00;879
AI;2017-07-14T18:00:00+02:00;607
AI;2017-07-30T16:00:00+02:00;536
AI;2017-07-30T17:00:00+02:00;508
AI;2017-07-13T23:00:00+02:00;20
AI;2017-07-14T03:00:00+02:00;21
AI;2017-07-14T22:00:00+02:00;77
AI;2017-07-15T02:00:00+02:00;19
AI;2017-07-28T09:00:00+02:00;1032
AI;2017-07-31T11:00:00+02:00;791
AI;2017-07-31T13:00:00+02:00;957
AI;2017-07-28T15:00:00+02:00;914
AI;2017-07-28T18:00:00+02:00;599
AI;2017-07-28T20:00:00+02:00;251
AI;2017-07-30T23:00:00+02:00;43
AI;2017-07-31T04:00:00+02:00;73
AI;2017-07-31T23:00:00+02:00;34
AI;2017-07-30T21:00:00+02:00;90
AI;2017-07-28T21:00:00+02:00;156
AI;2017-07-29T07:00:00+02:00;593
AI;2017-07-29T09:00:00+02:00;782
AI;2017-07-29T19:00:00+02:00;392
AI;2017-07-30T09:00:00+02:00;567
AI;2017-07-28T04:00:00+02:00;61
AI;2017-07-28T12:00:00+02:00;825
AI;2017-07-29T01:00:00+02:00;22
AI;2017-07-28T22:00:00+02:00;85
AI;2017-07-29T02:00:00+02:00;25
AI;2017-07-30T11:00:00+02:00;518
AI;2017-07-30T13:00:00+02:00;498
AI;2017-07-30T15:00:00+02:00;624
AI;2017-07-25T11:00:00+02:00;616
AI;2017-07-25T13:00:00+02:00;821
AI;2017-07-25T09:00:00+02:00;991
AI;2017-07-25T15:00:00+02:00;853
AI;2017-07-29T04:00:00+02:00;38
AI;2017-07-29T23:00:00+02:00;43
AI;2017-07-30T03:00:00+02:00;10
AI;2017-07-21T05:00:00+02:00;274
AI;2017-07-21T06:00:00+02:00;743
AI;2017-07-21T23:00:00+02:00;24
AI;2017-07-21T03:00:00+02:00;24
AI;2017-07-22T13:00:00+02:00;572
BE;2017-07-25T08:00:00+02:00;113548
BE;2017-07-25T16:00:00+02:00;108305
BE;2017-07-31T05:00:00+02:00;17439
BE;2017-07-31T23:00:00+02:00;13482
BL;2017-07-01T05:00:00+02:00;2111
BE;2017-07-31T00:00:00+02:00;2727
BL;2017-07-01T04:00:00+02:00;1066
BL;2017-07-01T00:00:00+02:00;558
BL;2017-07-01T02:00:00+02:00;693
AR;2017-07-04T05:00:00+02:00;1545
AR;2017-07-04T09:00:00+02:00;4949
AR;2017-07-04T11:00:00+02:00;3898
AR;2017-07-04T13:00:00+02:00;4512
AR;2017-07-04T15:00:00+02:00;5239
AR;2017-07-04T16:00:00+02:00;5033
AR;2017-07-04T17:00:00+02:00;3968
AR;2017-07-05T07:00:00+02:00;4568
AR;2017-07-04T04:00:00+02:00;310
AR;2017-07-04T03:00:00+02:00;92
AR;2017-07-03T19:00:00+02:00;2101
AR;2017-07-03T13:00:00+02:00;4747
AR;2017-07-03T16:00:00+02:00;4939
AR;2017-07-03T18:00:00+02:00;3059
AR;2017-07-03T20:00:00+02:00;1371
AR;2017-07-02T20:00:00+02:00;964
AR;2017-07-02T23:00:00+02:00;103
AR;2017-07-02T22:00:00+02:00;236
AR;2017-07-03T00:00:00+02:00;68
AR;2017-07-02T02:00:00+02:00;145
AR;2017-07-06T13:00:00+02:00;4815
AR;2017-07-06T16:00:00+02:00;4704
AR;2017-07-06T19:00:00+02:00;2359
AR;2017-07-06T20:00:00+02:00;1571
AR;2017-07-07T09:00:00+02:00;3397
AR;2017-07-03T07:00:00+02:00;4372
AR;2017-07-07T06:00:00+02:00;3611
AR;2017-07-07T03:00:00+02:00;110
AR;2017-07-07T12:00:00+02:00;4728
AR;2017-07-06T22:00:00+02:00;395
AR;2017-07-14T09:00:00+02:00;4794
AR;2017-07-14T13:00:00+02:00;4252
AR;2017-07-14T18:00:00+02:00;2336
AR;2017-07-14T19:00:00+02:00;1481
AR;2017-07-14T20:00:00+02:00;1076
AR;2017-07-14T10:00:00+02:00;3600
AR;2017-07-19T08:00:00+02:00;4189
AR;2017-07-14T12:00:00+02:00;4187
AR;2017-07-14T00:00:00+02:00;61
AR;2017-07-14T02:00:00+02:00;44
AR;2017-07-19T16:00:00+02:00;3943
AR;2017-07-19T18:00:00+02:00;2546
AR;2017-07-20T07:00:00+02:00;3461
AR;2017-07-20T11:00:00+02:00;2843
AR;2017-07-20T15:00:00+02:00;4241
AR;2017-07-19T10:00:00+02:00;3335
AR;2017-07-20T10:00:00+02:00;3152
AR;2017-07-06T09:00:00+02:00;4997
AR;2017-07-19T12:00:00+02:00;3657
AR;2017-07-19T21:00:00+02:00;493
BL;2017-07-26T10:00:00+02:00;24538
BL;2017-07-26T12:00:00+02:00;26148
BS;2017-07-03T06:00:00+02:00;18098
BL;2017-07-25T23:00:00+02:00;860
BL;2017-07-26T03:00:00+02:00;618
BL;2017-07-31T11:00:00+02:00;18137
BL;2017-07-31T13:00:00+02:00;19900
BL;2017-07-31T18:00:00+02:00;10601
BL;2017-07-31T17:00:00+02:00;14251
BL;2017-07-31T05:00:00+02:00;3343
BL;2017-07-30T21:00:00+02:00;3134
BS;2017-07-01T01:00:00+02:00;1470
BL;2017-07-30T23:00:00+02:00;845
BL;2017-08-01T00:00:00+02:00;884
BS;2017-07-01T02:00:00+02:00;1466
BL;2017-07-27T14:00:00+02:00;26679
BL;2017-07-27T19:00:00+02:00;10069
BL;2017-07-28T07:00:00+02:00;21948
BL;2017-07-28T10:00:00+02:00;24540
BL;2017-07-28T05:00:00+02:00;6346
BL;2017-07-28T06:00:00+02:00;13969
BL;2017-07-27T21:00:00+02:00;3514
BL;2017-07-27T23:00:00+02:00;947
BL;2017-07-28T01:00:00+02:00;418
BL;2017-07-28T02:00:00+02:00;442
BS;2017-07-04T08:00:00+02:00;34444
BS;2017-07-04T10:00:00+02:00;33469
BS;2017-07-03T20:00:00+02:00;9352
BS;2017-07-03T23:00:00+02:00;1208
BS;2017-07-04T04:00:00+02:00;1753
BS;2017-07-03T22:00:00+02:00;2689
BS;2017-07-04T00:00:00+02:00;712
BS;2017-07-04T01:00:00+02:00;548
BS;2017-07-04T03:00:00+02:00;781
BS;2017-07-04T02:00:00+02:00;567
AR;2017-07-13T18:00:00+02:00;2564
AR;2017-07-13T10:00:00+02:00;3660
AR;2017-07-13T17:00:00+02:00;3266
AR;2017-07-23T05:00:00+02:00;218
AR;2017-07-13T12:00:00+02:00;4270
AR;2017-07-22T16:00:00+02:00;1899
FR;2017-07-24T02:00:00+02:00;704
GL;2017-07-09T05:00:00+02:00;200
GL;2017-07-09T08:00:00+02:00;1355
GL;2017-07-09T09:00:00+02:00;1679
GL;2017-07-11T09:00:00+02:00;3739
GL;2017-07-11T11:00:00+02:00;2836
GL;2017-07-08T20:00:00+02:00;959
GL;2017-07-09T12:00:00+02:00;1721
GL;2017-07-09T06:00:00+02:00;420
GL;2017-07-08T22:00:00+02:00;360
GL;2017-07-09T03:00:00+02:00;79
GL;2017-07-12T09:00:00+02:00;3771
GL;2017-07-12T13:00:00+02:00;3540
GL;2017-07-12T15:00:00+02:00;3828
GL;2017-07-12T10:00:00+02:00;2983
GL;2017-07-08T17:00:00+02:00;2130
GL;2017-07-08T19:00:00+02:00;1298
GL;2017-07-11T20:00:00+02:00;893
GL;2017-07-11T21:00:00+02:00;340
GL;2017-07-12T04:00:00+02:00;267
GL;2017-07-12T02:00:00+02:00;44
GL;2017-07-11T13:00:00+02:00;3617
GL;2017-07-11T14:00:00+02:00;3880
GL;2017-07-11T15:00:00+02:00;3782
GL;2017-07-11T16:00:00+02:00;3596
GL;2017-07-11T18:00:00+02:00;2229
GL;2017-07-29T08:00:00+02:00;2070
GL;2017-07-29T09:00:00+02:00;2371
GL;2017-07-11T04:00:00+02:00;283
GL;2017-07-11T01:00:00+02:00;45
GL;2017-07-11T03:00:00+02:00;57
GL;2017-07-29T17:00:00+02:00;2047
GL;2017-07-29T19:00:00+02:00;1319
GL;2017-07-04T13:00:00+02:00;3789
GL;2017-07-05T08:00:00+02:00;3824
GL;2017-07-05T11:00:00+02:00;3305
GL;2017-07-05T13:00:00+02:00;3673
GL;2017-07-05T17:00:00+02:00;3179
GL;2017-07-29T05:00:00+02:00;291
GL;2017-07-04T14:00:00+02:00;3836
GL;2017-07-04T12:00:00+02:00;3655
GL;2017-07-29T00:00:00+02:00;102
GL;2017-07-29T01:00:00+02:00;103
GL;2017-07-28T00:00:00+02:00;45
SG;2017-07-02T14:00:00+02:00;23640
SG;2017-07-02T15:00:00+02:00;25565
SG;2017-07-02T16:00:00+02:00;25853
SG;2017-07-02T19:00:00+02:00;18352
SG;2017-07-02T20:00:00+02:00;11639
SG;2017-07-02T23:00:00+02:00;2304
SG;2017-07-02T21:00:00+02:00;6756
SG;2017-07-03T01:00:00+02:00;1663
SG;2017-07-03T04:00:00+02:00;5613
SG;2017-07-03T02:00:00+02:00;1684
SG;2017-07-03T20:00:00+02:00;17406
SG;2017-07-04T07:00:00+02:00;56076
SG;2017-07-04T09:00:00+02:00;63690
SG;2017-07-04T16:00:00+02:00;64332
SG;2017-07-04T12:00:00+02:00;59797
SG;2017-07-03T22:00:00+02:00;3707
SG;2017-07-05T01:00:00+02:00;994
SG;2017-07-05T02:00:00+02:00;978
SG;2017-07-07T07:00:00+02:00;55484
SG;2017-07-06T15:00:00+02:00;67610
SG;2017-07-06T17:00:00+02:00;48884
SG;2017-07-06T19:00:00+02:00;29911
SG;2017-07-06T21:00:00+02:00;10816
SG;2017-07-07T16:00:00+02:00;59709
SG;2017-07-07T00:00:00+02:00;1773
SG;2017-07-07T06:00:00+02:00;43164
SG;2017-07-06T22:00:00+02:00;5368
SG;2017-07-07T02:00:00+02:00;1276
SG;2017-07-12T05:00:00+02:00;15281
SG;2017-07-11T08:00:00+02:00;57568
SG;2017-07-11T11:00:00+02:00;44110
SG;2017-07-11T14:00:00+02:00;61133
SG;2017-07-11T15:00:00+02:00;64164
SG;2017-07-11T17:00:00+02:00;43511
SG;2017-07-11T18:00:00+02:00;31227
SG;2017-07-11T01:00:00+02:00;721
SG;2017-07-11T22:00:00+02:00;3112
SG;2017-07-12T01:00:00+02:00;646
SG;2017-07-07T18:00:00+02:00;38439
SG;2017-07-07T19:00:00+02:00;27876
SG;2017-07-08T16:00:00+02:00;33025
SG;2017-07-08T21:00:00+02:00;10061
SG;2017-07-09T05:00:00+02:00;2761
SG;2017-07-08T00:00:00+02:00;3446
SG;2017-07-08T03:00:00+02:00;1881
SG;2017-07-08T05:00:00+02:00;5827
SG;2017-07-07T22:00:00+02:00;7847
SG;2017-07-09T06:00:00+02:00;5497
SG;2017-07-09T08:00:00+02:00;17328
SG;2017-07-10T08:00:00+02:00;57408
SG;2017-07-10T11:00:00+02:00;44784
SG;2017-07-10T16:00:00+02:00;56810
SG;2017-07-10T20:00:00+02:00;14480
SG;2017-07-10T04:00:00+02:00;4328
SG;2017-07-10T06:00:00+02:00;37045
SG;2017-07-10T21:00:00+02:00;6867
AI;2017-07-22T19:00:00+02:00;321
AI;2017-07-22T21:00:00+02:00;148
AI;2017-07-22T07:00:00+02:00;634
AI;2017-07-22T09:00:00+02:00;806
AI;2017-07-21T22:00:00+02:00;41
AI;2017-07-17T07:00:00+02:00;1031
AI;2017-07-26T10:00:00+02:00;781
AI;2017-07-16T09:00:00+02:00;570
AI;2017-07-16T11:00:00+02:00;533
AI;2017-07-16T14:00:00+02:00;625
AI;2017-07-16T18:00:00+02:00;464
AI;2017-07-26T12:00:00+02:00;815
AI;2017-07-27T03:00:00+02:00;27
AI;2017-07-26T22:00:00+02:00;38
AI;2017-07-27T01:00:00+02:00;9
AI;2017-07-20T09:00:00+02:00;1122
AI;2017-07-21T07:00:00+02:00;1000
AI;2017-07-24T17:00:00+02:00;658
AI;2017-07-20T18:00:00+02:00;554
AI;2017-07-20T20:00:00+02:00;248
AI;2017-07-24T20:00:00+02:00;158
AI;2017-07-21T21:00:00+02:00;122
AI;2017-07-24T21:00:00+02:00;91
AI;2017-07-23T22:00:00+02:00;28
AI;2017-07-24T02:00:00+02:00;13
AI;2017-07-27T09:00:00+02:00;1226
AI;2017-07-16T19:00:00+02:00;294
AI;2017-07-27T08:00:00+02:00;824
AI;2017-07-27T11:00:00+02:00;671
AI;2017-07-27T13:00:00+02:00;858
AI;2017-07-27T15:00:00+02:00;942
AI;2017-07-16T21:00:00+02:00;92
AI;2017-07-16T23:00:00+02:00;12
AI;2017-07-17T03:00:00+02:00;34
AI;2017-07-17T02:00:00+02:00;13
AI;2017-07-15T05:00:00+02:00;114
AI;2017-07-27T17:00:00+02:00;735
AI;2017-07-27T19:00:00+02:00;340
AI;2017-07-27T20:00:00+02:00;163
AI;2017-07-15T15:00:00+02:00;752
AI;2017-07-15T18:00:00+02:00;473
AI;2017-07-15T20:00:00+02:00;187
AI;2017-07-28T03:00:00+02:00;44
AI;2017-07-27T23:00:00+02:00;34
AI;2017-07-15T06:00:00+02:00;365
AI;2017-07-16T07:00:00+02:00;360
AI;2017-07-15T10:00:00+02:00;785
AI;2017-07-24T10:00:00+02:00;751
AI;2017-07-23T18:00:00+02:00;404
AI;2017-07-23T21:00:00+02:00;102
AI;2017-07-24T14:00:00+02:00;459
AI;2017-07-24T15:00:00+02:00;887
AI;2017-07-16T03:00:00+02:00;43
AI;2017-07-16T04:00:00+02:00;29
AI;2017-07-16T02:00:00+02:00;47
BS;2017-07-21T14:00:00+02:00;27856
BS;2017-07-20T21:00:00+02:00;5207
BS;2017-07-20T12:00:00+02:00;29813
BS;2017-07-20T23:00:00+02:00;1397
BS;2017-07-21T19:00:00+02:00;9939
BS;2017-07-17T18:00:00+02:00;14318
BS;2017-07-17T10:00:00+02:00;27789
BS;2017-07-19T07:00:00+02:00;24525
BS;2017-07-16T23:00:00+02:00;1086
BS;2017-07-17T20:00:00+02:00;8407
BS;2017-07-17T21:00:00+02:00;4732
BS;2017-07-19T06:00:00+02:00;15763
BS;2017-07-17T00:00:00+02:00;709
BS;2017-07-17T01:00:00+02:00;353
BS;2017-07-17T03:00:00+02:00;650
BS;2017-07-20T07:00:00+02:00;23376
BS;2017-07-21T13:00:00+02:00;28548
BS;2017-07-22T14:00:00+02:00;14402
BS;2017-07-22T15:00:00+02:00;14311
BS;2017-07-22T16:00:00+02:00;12635
BS;2017-07-23T00:00:00+02:00;1972
BS;2017-07-23T03:00:00+02:00;964
BS;2017-07-21T22:00:00+02:00;3724
BS;2017-07-22T07:00:00+02:00;7122
BS;2017-07-22T02:00:00+02:00;945
AI;2017-07-17T15:00:00+02:00;1211
AI;2017-07-18T09:00:00+02:00;1285
AI;2017-07-17T17:00:00+02:00;902
AI;2017-07-17T21:00:00+02:00;112
AI;2017-07-18T14:00:00+02:00;980
AI;2017-07-20T06:00:00+02:00;750
AI;2017-07-18T23:00:00+02:00;20
AI;2017-07-19T21:00:00+02:00;82
AI;2017-07-18T22:00:00+02:00;60
AI;2017-07-20T02:00:00+02:00;5
AI;2017-07-27T05:00:00+02:00;162
AI;2017-07-18T18:00:00+02:00;615
AI;2017-07-18T20:00:00+02:00;212
AI;2017-07-26T08:00:00+02:00;890
AI;2017-07-26T13:00:00+02:00;838
AI;2017-07-17T23:00:00+02:00;13
AI;2017-07-18T01:00:00+02:00;11
AI;2017-07-18T04:00:00+02:00;86
AI;2017-07-26T06:00:00+02:00;475
AI;2017-07-26T01:00:00+02:00;16
AR;2017-07-22T18:00:00+02:00;1435
AR;2017-07-22T07:00:00+02:00;1768
AR;2017-07-22T09:00:00+02:00;2516
AR;2017-07-13T02:00:00+02:00;87
AR;2017-07-13T11:00:00+02:00;3210
AR;2017-07-13T05:00:00+02:00;1198
AR;2017-07-13T08:00:00+02:00;4623
AR;2017-07-13T15:00:00+02:00;4477
AR;2017-07-10T12:00:00+02:00;4619
AR;2017-07-11T04:00:00+02:00;312
AR;2017-07-11T12:00:00+02:00;4414
AR;2017-07-13T06:00:00+02:00;2950
AR;2017-07-11T03:00:00+02:00;80
AR;2017-07-10T23:00:00+02:00;92
AR;2017-07-17T11:00:00+02:00;2975
AR;2017-07-17T13:00:00+02:00;3650
AR;2017-07-17T19:00:00+02:00;1733
AR;2017-07-17T20:00:00+02:00;1103
AR;2017-07-07T16:00:00+02:00;4611
AR;2017-07-17T23:00:00+02:00;104
AR;2017-07-17T00:00:00+02:00;50
AR;2017-07-17T01:00:00+02:00;26
AR;2017-07-17T03:00:00+02:00;74
AR;2017-07-17T22:00:00+02:00;213
AR;2017-07-06T05:00:00+02:00;1636
AR;2017-07-05T09:00:00+02:00;5036
AR;2017-07-05T14:00:00+02:00;5023
AR;2017-07-05T17:00:00+02:00;3711
AR;2017-07-05T19:00:00+02:00;2351
AR;2017-07-06T07:00:00+02:00;4172
AR;2017-07-09T11:00:00+02:00;1716
AR;2017-07-05T12:00:00+02:00;4842
AR;2017-07-04T22:00:00+02:00;249
AR;2017-07-06T02:00:00+02:00;59
AR;2017-07-10T13:00:00+02:00;4509
AR;2017-07-10T15:00:00+02:00;4846
AR;2017-07-10T17:00:00+02:00;3477
AR;2017-07-11T08:00:00+02:00;4651
AR;2017-07-11T17:00:00+02:00;3520
AR;2017-07-21T23:00:00+02:00;154
AR;2017-07-22T00:00:00+02:00;178
AR;2017-07-21T22:00:00+02:00;285
AR;2017-07-22T05:00:00+02:00;375
AR;2017-07-22T03:00:00+02:00;69
AR;2017-07-09T19:00:00+02:00;1190
AR;2017-07-10T09:00:00+02:00;4673
AR;2017-07-10T08:00:00+02:00;4588
AR;2017-07-09T12:00:00+02:00;1520
AR;2017-07-10T04:00:00+02:00;357
AR;2017-07-08T22:00:00+02:00;375
AR;2017-07-09T03:00:00+02:00;86
AR;2017-07-10T01:00:00+02:00;38
AR;2017-07-22T04:00:00+02:00;109
AR;2017-07-10T02:00:00+02:00;38
AR;2017-07-07T19:00:00+02:00;1827
AR;2017-07-08T07:00:00+02:00;2353
AR;2017-07-08T11:00:00+02:00;2518
AR;2017-07-08T14:00:00+02:00;2382
AR;2017-07-08T19:00:00+02:00;1204
AR;2017-07-11T18:00:00+02:00;2719
AR;2017-07-08T06:00:00+02:00;1335
AR;2017-07-08T00:00:00+02:00;133
AR;2017-07-08T05:00:00+02:00;451
AR;2017-07-08T02:00:00+02:00;68
AR;2017-07-16T17:00:00+02:00;1830
AR;2017-07-15T11:00:00+02:00;2147
AR;2017-07-16T14:00:00+02:00;1474
AR;2017-07-16T16:00:00+02:00;1668
AR;2017-07-16T03:00:00+02:00;143
AR;2017-07-16T04:00:00+02:00;141
AR;2017-07-16T12:00:00+02:00;1495
AR;2017-07-16T21:00:00+02:00;454
AR;2017-07-16T23:00:00+02:00;81
AR;2017-07-16T02:00:00+02:00;345
AR;2017-07-11T20:00:00+02:00;1205
AR;2017-07-12T09:00:00+02:00;4579
AR;2017-07-12T14:00:00+02:00;4387
AR;2017-07-12T16:00:00+02:00;4344
AR;2017-07-12T18:00:00+02:00;2588
AR;2017-07-16T08:00:00+02:00;1426
AR;2017-07-12T12:00:00+02:00;4561
AR;2017-07-12T21:00:00+02:00;609
AR;2017-07-13T00:00:00+02:00;113
AR;2017-07-12T02:00:00+02:00;77
AR;2017-07-14T05:00:00+02:00;1126
AR;2017-07-15T13:00:00+02:00;2043
AR;2017-07-15T17:00:00+02:00;2008
AR;2017-07-14T21:00:00+02:00;725
AR;2017-07-14T23:00:00+02:00;211
AR;2017-07-15T01:00:00+02:00;139
AR;2017-07-15T20:00:00+02:00;920
AR;2017-07-16T01:00:00+02:00;428
AR;2017-07-14T22:00:00+02:00;368
AR;2017-07-15T02:00:00+02:00;87
BL;2017-07-25T16:00:00+02:00;23109
BL;2017-07-25T18:00:00+02:00;14227
BL;2017-07-26T07:00:00+02:00;22129
BL;2017-07-26T13:00:00+02:00;26560
BL;2017-07-26T05:00:00+02:00;6292
BL;2017-07-26T04:00:00+02:00;1626
SG;2017-07-10T00:00:00+02:00;741
SG;2017-07-10T01:00:00+02:00;621
SG;2017-07-14T05:00:00+02:00;14172
SG;2017-07-13T17:00:00+02:00;43202
SG;2017-07-13T20:00:00+02:00;15364
SG;2017-07-14T07:00:00+02:00;47118
SG;2017-07-14T10:00:00+02:00;49404
SG;2017-07-14T14:00:00+02:00;56876
SG;2017-07-14T03:00:00+02:00;1303
SG;2017-07-14T04:00:00+02:00;4151
SG;2017-07-13T23:00:00+02:00;1809
SG;2017-07-14T02:00:00+02:00;879
SG;2017-07-13T05:00:00+02:00;14987
SG;2017-07-12T10:00:00+02:00;48644
SG;2017-07-12T15:00:00+02:00;61997
SG;2017-07-12T16:00:00+02:00;55081
SG;2017-07-12T19:00:00+02:00;22831
SG;2017-07-13T08:00:00+02:00;56773
